kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,,,,,,,,,,,,,,,,,,,,,,,,
10797460,K00752.01,Kepler-227 b,CONFIRMED,2.26,,,,,,,,,,,,,,,,,,,,,,,,
10797460,K00752.02,Kepler-227 c,CONFIRMED,2.83,,,,,,,,,,,,,,,,,,,,,,,,
10811496,K00753.01,,CANDIDATE,14.6,,,,,,,,,,,,,,,,,,,,,,,,
10848459,K00754.01,,FALSE POSITIVE,33.46,,,,,,,,,,,,,,,,,,,,,,,,
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.75,,,,,,,,,,,,,,,,,,,,,,,,
10872983,K00756.01,Kepler-228 d,CONFIRMED,3.9,,,,,,,,,,,,,,,,,,,,,,,,
10872983,K00756.02,Kepler-228 c,CONFIRMED,2.77,,,,,,,,,,,,,,,,,,,,,,,,
10872983,K00756.03,Kepler-228 b,CONFIRMED,1.59,,,,,,,,,,,,,,,,,,,,,,,,
6721123,K00114.01,,FALSE POSITIVE,39.21,,,,,,,,,,,,,,,,,,,,,,,,
10910878,K00757.01,Kepler-229 c,CONFIRMED,5.76,,,,,,,,,,,,,,,,,,,,,,,,
11446443,K00001.01,Kepler-1 b,CONFIRMED,13.04,,,,,,,,,,,,,,,,,,,,,,,,
10666592,K00002.01,Kepler-2 b,CONFIRMED,16.1,,,,,,,,,,,,,,,,,,,,,,,,
6922244,K00010.01,Kepler-8 b,CONFIRMED,14.59,,,,,,,,,,,,,,,,,,,,,,,,
10984090,K00112.02,Kepler-466 c,CONFIRMED,1.16,,,,,,,,,,,,,,,,,,,,,,,,
10419211,K00742.01,,FALSE POSITIVE,150.51,,,,,,,,,,,,,,,,,,,,,,,,
10464078,K00743.01,,FALSE POSITIVE,7.18,,,,,,,,,,,,,,,,,,,,,,,,
10480982,K00744.01,,FALSE POSITIVE,49.29,,,,,,,,,,,,,,,,,,,,,,,,
10485250,K00745.01,,FALSE POSITIVE,7.94,,,,,,,,,,,,,,,,,,,,,,,,
10526549,K00746.01,Kepler-660 b,CONFIRMED,2.47,,,,,,,,,,,,,,,,,,,,,,,,
10583066,K00747.01,Kepler-661 b,CONFIRMED,2.85,,,,,,,,,,,,,,,,,,,,,,,,
